author,message message
Houws Houlinou,@Phahamang Thakudi They are waiting until the perpetrators are on a plane and then they will issue a warrant of arrest @Julian Martinez So the corrupt officials who took money are innocent victims of Freemasons? @Phahamang Thakudi What do you think will happen to you if you steal 10% of income from your employer? @Phahamang Thakudi Just illustrating how far our moral compass have shifted. We are grateful if they only steal a little. @Phahamang Thakudi Only in South Africa. You get hijacked and then praise the Lord they didn't shoot your 2 year old on the back seat @Julian Martinez We need accountability in this country - BY INDIVIDUALS. People have the freedom of choice. They choose to be criminal or not @Phahamang Thakudi Not let the governing party get the majority vote. Let the opposition be the majority to serve the interest of the citizens @Phahamang Thakudi No matter who wins the election. The opposition should have the power to hold the governing party to account if they don't serve South Africa's interests. @Phahamang Thakudi The ANC had the majority vote. That is why they could just cover up corruption without fear. They just steamrolled everyone @MIKE LOCK They saved themselves alright
Dennis Martin Topkin,corruption is white man. thing divide and rule
Michael Michael,the anc?? company will shut down no need to steal even one cent jail term for those who are busy stealing our money must be increase.from 15 years to atleast 75 year. Agrizzi mentioning himself too.now is not eazy to c his motives. i have 5 kids.one dont like school the other four do attend school.must we paint them with same brush?? agree are we gonna c steinhorf commision??pic billions stolen.interesting?? we will make sure we give them last chance 1.3 million chief of staff.that party with clean hands.mayor not aware of that.i want to be a premier. small gruop of rulling party are thief now we must get rid of them wts wrong with making ur own money in a ryt way?? he must be pardon he is honest nobody is saying they will sue him for mentioning their names no y they didn't do first.he is honest unlike Manyi gangsters killing innocent child wow.ur wish think about it but u are forgiven we are all together into this.u are orange or yellow crime is crime nothing to do with his colour his word not white. light setence yes we hope they dont 24 hour protection. dont think he is south african.or i am wrong?? thats y he is telling the truth.bravo for him.his family must be protectd too.we have vultures in our country. like wt myb yaaa but he dont deserve that.death. lets make it clear u join them the only thing that will separate is death not this time it will be tronk. billions prayers our black brothers on top there must stop it.how much money is enough not important camera installation is my job. if Mantashe can remove Watson camera i can help him.ican open and register a company blak brothers assist.as long as no corruption money. if Agrizzi m technology mine also ya mr no matric i will fone them yes with less bank balance.the tap is now close dont be sensative y come with it y zuma now.?? Thando correct we will all smile towards the gste of pollsmor tru tech and u open the gate for urself can Malela be our president?? goats and cattle can fly magda agree and u didn't take the 200 ner?? Dr Mbuyiseni got brain is Malema going to Honourable Zondo.? yaaa he is yes they are still young. at anc those are thier parenns who make them who they are tody mike DA.tjooo.segrigation as it is already started at the beaches caluza yes employing some with no qualification Next president Holomisa Matleawa nothing are we loosing it?? yes Agrizzi strong man show me the grave of National party or we must wait for eff Floyd and Juluis. yes Steihezen and hlaudi big brothers lets trump fix his country we fix hours america
Franco Ferreira,How hypocrtical are the Watson brothers....aaaarrrgggghhhhh
the village boi,may i please have R486 million to start my farming project The Freemasons use corrupt law enforcement as an armoured car to secure the arrival and distribution of incoming shipments of illegal drugs/narcotics.
Goitsimang Mogorosi,"With all of this happening 
Kevin Davis,actually we should thank the watsons as this saga should put the ANC out of power surely the people can't vote for thia lot thakudi are u trying to say I am from.the UK that the south African citizens will vote for corruption in the UK Theresa will be forced out on Brexit alone far less than the rot here if u are white brothers let's get out while we can what African country is run properly thando please answer and whites are also far behind when it comes to fashion yea the whites refuse to wear wigs and blacks well the entire nation wears wigs buy a wig white ladies that's looks so cool and more advise for the whitea to save petrol we all need to jump into mini busses you split the Petrol 16 ways and whites call blacks barbaric when they behave so well lol we shud feel ashamed of ourselves thando why do you guys make that educated noise when one of your leaders speak lol thando have you ever been to the Kruger park
Titi Pitso,Let's wait for the Commission to take its own course and not crucify ANC because of a few rotten potatoes. I agree with jail term for the thieves "Let's give ANC another chance I do understand your pain which is mine as well and but we need to give Cyril a chance. "Yes but we must understand how Cyril works the weekend Finance Minister was not removed "it's scary Eish Agreed
Vuxaka kiston Madebani,I think next a ACSA airport company South African.Bosasa was there for more than 20 years there on security industry
Benny Bala,@Titi Pitso Unfortunately it's not the few.Zuma once said No-one is clean in the ANC. @Tlou Chris So true and they are not willing to deliver us from poverty. The ANC is arrogant. @Titi Pitso These individuals should long have been prosecuted. It all happened under everybody's watch in the ANC. It's painful. Betrayal of the trust and loyalty. For more than 20 years. Too much. @Blaze 613 Everything happened under Cyril's watch as a dep. President of the country. He had all the necessary powers to blow a whistle. How many chances does a leader need to deliver? Cyril was busy enriching himself. He did not care. Why must he care now? "@Nqobile Ncube It can lay the basis of one being investigated and prosecuted by law. If actions are unconstitutional
MIKE DURBAN,@Kevin.....My friend...sorry to say but......This Is Africa.....the ANC are seen as Saviors...no matter what... Shame......commie policy is ok with the ANC.. @Mxolisi......Spot on Bra... @Michael....they too must be charged etc.... @Titi.......sorry friend.......the ANC suppoted Gupta's and Co...... Therefore....ANC corrupt etc... Guys......just remember this......Cyril and co....are all cut from the same ANC cloth.......don't trust them too much i'm afraid... Mmmm////then we will see who has hidden agenda's @Thando.....Mmmmmm.......Communist Change hey... @Thando...NO....not when it means a communistic future..... Guys...Communistic ideology is NOT welacome in OUR SA... Guys.......Communism is Not the way to go..... DA will take over...... I reckon that the DA are the Lesser of all the evils... We will see.... Like i say...the lesser of all the evils.... You'all know...politics is a dirty word.... @ Thando.......shame typical reaction... @ Thisa........spot on.. Always the race card...hey.. Eeeeesh...guys.....communists and revolutionaries are not welcome here in SA..... Don't worry guys.......the Marines are coming.....
Tumelo ndlazi,jaw dropping evidence
Nizibone Madabane,I wonder what informs Agrizzi's decision to testify
Prescott Smith's Fly Fishing Academy,The ANC from what I can see are no different than our situation here in The Bahamas. political index and not economic INDEPENDENCE for BAHAMIANS. The COLONIAL status quo is still in CONTROL
Daniel Prinsloo,the Bahamas are controlled by the Clintons
Nqobile Ncube,"this is the world we leave in you can only be liable to what happens to your life anything after it is outside your hands. "every political party has people of influence behind @Khalid Mather do you think this commission is about justice?? well let us wait and see if it will put our minds at ease.
Mxolisi Percival,Stealing has nothing to do with race but greediness "This should widely open our eyes on who to vote for
Tlou Chris,ANC will always loot money by the vehicle called tenders or Ratanang Trust or Zuma foundation that is how politicians steal money of tax pay! "politicians will never care about the poor people tenders belong to Politicians or they friends not poor people!
Blaze 613,"no it`s all of the anc "cyril has been part of this since day 1
Kirk gemmell,"When you add up Bossasa 
Collens Nkgadima,ANC is open for business. All corrupt capitalist investors must pay Luthuli House a visit
Khalid Mather,"break the game  give cyril a chance 😂😂😂 shem robbed us a bit longer :) "why do people fight against justice unearthing the filth of corruption should be a component of justice @Nqobile Ncube "mantashe is evil though  so the SiU guys found some stuff? they didnt format the hardrives lol "yeah  "thats why Angelo is testifying. im saying is moral compass is simple "na Watson had his family being paid and stuff 
samuel molope,AGRIZZI IS LIAR "DONT TRUST THIS GUY AGRIZZI HE WILL SPOIL THE WHOLE COMMISSION
Monethi alphonse,"Its too early to be judgmental at this stage
Zola Marali,"I'm worried about these combo of Ramaphosa
Samkelo Ngema,Thought i was the only one who saw him sleeping 😂 They should have let it air for abit longer
SIMPHIWE S'BONISO MADONSELA,Imagine what will be revealed when the corruption that has allegedly occurred at Eskom is finally exposed
Neville Loubser,no jiba coverage??
Lesego Modise,"Guys is the list I saw yesterday for real
tymo,deport white people and corruption shall finish because they the ones that introduced corruption in africa
Musa Bakiti,we need another inquiry to out why up to now we black people we did get the land yet. "i wish i was a coloured not black 
fillemon shivute kwedhi,honest witness that i ever seen #2019 witness of the year
Felix Muyoba,@Titi Pitso true..no tax deductions!!!
Ewald Kruger,😀 😀 😀 I don't trust people who write in CAPITALS @samuel molope ​DONT TRUST THIS GUY AGRIZZI HE WILL SPOIL THE WHOLE COMMISSION "😀 my word where you getting that from? MASIPA ITUMELENG​ Agrizzi was the master mind of this corruption 😀 our own in-house Agrizzi expert @MASIPA ITUMELENG
Richard Ngcanga,What would be light sentence
Malusi Varoyi Varoyi,but this guy he is also corrupt I think he is only doing wat is doing because he didn't get wat he want from Gavin Watson the director of bosasa
maqb pty ltd,@Michael He is Italian
Zamo Ngobese,"whats happening now
tabze,@malusi varoyi varoyi go back to Zimbabwe and sort your country out leave SA toits owners
Khanya Gabela,will this man tell about the installation of security system at Gwede's homes
Yanga Tshijila,dnt miss CIC EFF briefing
Vusumzi Mafilika,"the former president destroye the country 
Nothemba Gili,"Winner takes all: If they can bring back this money
Red,has this oke got some sort of immunity for him to be singing like a canary? "@Lyl Bali - Thanks. Was battling to understand how this came about. So to clarify @Lyl Bali - Gotcha. Thanks for that. appreciated @Khalid Mather - they should have pulled a Clinton - BLEACHBIT! XD 😂 @Nkosinathi Mdhluli - Dont waste your vote... Vote Dagga Party 😂🤣
Thulani Ndlangisa,🐖
sekgedi Malvern,EFF CIC briefing live
LalaLee Melz,sarcasm Agrizzi
Aidan Bain,go listen to cic more bandwith for us he was fired in 2016 he was accused of stealing money of all things "i am waiting for the name Ace The siu did find stuff - nothing happened
Sthakathi Khumalo,CIC live people pause state capture When is Agrizzi finishing??
Cassius Mngomezulu,Who Cares Polokwane Zwane and van rooyen
peter sikoshule,where is this eff media briefing which channel
Pitso youngking mokhabi,LYL HOW AND WHO
MASIPA ITUMELENG,"Agrizzi was the master mind of this corruption "@Lyl he's creating an impression that he was just a foot soldier taking instructions but he actually was the main man running the company he is only doing this because he seek immunity from the state on his corruption cases... How do you think he knows everything He knows/remembers everything because he planned and implemented all operations
Ollielove Ndumo,this guy remembers everything.
Zama Kubheka,Dropping name like....ha ha ha man Agrizzi is my 2019 hero
Migadgets Online Shopping,hE KEPT NOTES HE KNEW THE SHIP WAS GOING TO SINK Duduzane nice just shows how it works
Brian Moeng,who actually captured the state? Gupta's ?
tali mushavhanamadi,why didn't he report all of this aligation claims before the sittings of this commission "he also direct benefit from all of this tenders @lyl Bali i salute what if Justice Zondo name just pop up😂😂this guy is unpredictable
Simphiwe Raymond Majola,They were definately gonna get rid of him...completely he knows too much "Ah Makhosi 
Buyiswa Mnyani,"heee Watson was seen in my neighborhood seeking refuge
makhosi nobhatyi,After this commission South Africa will be respected only if NPA prosecutors prosecute those who found guilty of doing wrong
Bophelo Malapela,@tali mushavhanamadi the team would have been aware of this long before and at the appropriate time informed the judge that he is implicated.
Bridgette Kekana,Bali we no longer trust any one this ppl are hynas then came the worst of all the tender system every thing fell under this corrupt system n unless we get rid of of it crime n corruption will b with us forever Agrizzi must drink water he is tired eish Thapelo o sa bolela ppl are u sleeping They must do like Thomas Sankara Their followers are youths n youths are unruly Bathabile s name nt mention? thnx Magda Nkosinathi if they are not prosecuted we will take to the stree KPMG Sori Thando Magda he apologised arg Booi its just a matter of time CR will deal with them Magda we rembered every n Malema apologised to Khwezi maaan Yeees Thando CR for pres municipalities must go back to City Council Anc made a mistake by firing Malema
Vusumzi Ngcoza,"does it make sense Sir? i wonder if he replied and say no yaaaaaaah ishubileeeeee
Dayz4weekz 5,lame talk about the truth
Thapelo Maponya,mathata fela moo
Maditse Moloi,listening 😂
Albert Malale,They must supply more security to that man Aggrizzi he can't even count money
Ngadla Miya,"We(ANC) all have our little skeletons hidden in our closets
Jp Ruthas,Men in fryin pans
Johan Peens,yes and dlamini and nomvula and no 1 they will go nowhere wait and see
Godfader rapagadi,Ya we’ve been caged by anc
mawubongwe donatus gwiji,"I never liked politics and it politicians as such hence It involves every living person in the entire country
Sibusiso Kekana,when his affidavit is complete that's cold ❄️😅
Sbonelo N,"When Agrizzi drinks water
Lebo Nchabeleng,I just pray that the people implicated are not planning to remove him from the earth If Juju was implicated He wouldnt have supported this commission from happening We must show this ANC flames this year n not vote for them in power again so they can all face jail time those implicated I guess they can only win if they take action against those implicated n stop telling us they will only do so if found guilty by court of law We will deal with VBS people when their time has arrived now we dealing with ANC people that are greedy Cyril Ramaphosa must start his own party so We can vote for him...lol @Tinyiko Im with you on that EFF is not to be put ontop. That party must just be there to push the other party that will be in power to deliver on their promises not lead our country @Mamphela if we let EFF rule then we will be more poorer than Zim Remember his friend that deals with illegal cigarettes. they will do as they please n our Rand will lose value
Mamphela Matlawa,if they can eliminate him then ANC is out because CR is now implicated here so they must protect him at all cost don't bring CIC in to this please only CR is involved they r not fools to me but to yes Stanley don't be fooled please on VBS issue EFF was not even involved in VBS only people who has their oun agenda implicated eff even if he got that watch what would be a problem how is he selling his supporters Wilson u don't know what to say about EFF I suggest u leave go learn more about EFF what happened to marikan thing will also happen to this one Magda is nice to say that but give us facts please magda u just talk without facts if students demand free education they r wrong we back magda we love u n please when u talk give us facts don't say thing that provoke in other to get rude answer magda m disappointed in u when we need facts u go no is not true magda M still to hear an apology of a man killed Shepo Mahloga who say he thought was a baboon William give facts don't just talk please magda who was given love when not supporting eff Stanley Malema won't leave n u hate Malema for telling trueth that u don't want William give us one thing that he don't want that will help sa Lebo we need EFF to rule SA who was insulted by Malema during debate how Lebo William talk sense please malusi waid n chech papa Chris please DA no man where dellil William m yet to see u talk sense mohlala give me what EFF has done to support ur corruption statement on EFF William u don't have to help me all what i can do give facts in what u say Mohlala give me one thing that prove that please There is no EFF in Motau report please try again William stop with senseless statement please yes that is all what i say here Mohlala u just my brother but m yet to get what u r saying EFF represent all Africans give me one tsotsi that EFF represent William u don't have words to share hear
Andrew Mounsear-Wilson,"This needs to be broadcast on radio "Anyone supporting the EFF is willfully blind. Malema walks around with a R200 000 watch. Very legal "Nothing wrong with a beautiful watch And that’s quite a profit to make on the backs of the poor. His job and farm? Riiiiiiiiiight 😉 "He sells futures
Mongezi Memela,how is Juju and Rams involve in this? woow ohk a lot is still coming. just wait and see. @Nkosinathi are you sure or just assuming "ohk Nkosinathi 
Mfuneko Njambatwa,Greedy current leaders of the ANC are messing up the pain of our icons who fought for this democracy now poor people are suffering while they are stealing money forgetting promised the poorers.
lindokuhle zondo,yey. stop mentioning the CIC here... "whats wrong with 200 000 watch "andrew what about his job
neo Edgar,Agrizzi doesn't leave a stone unturned 😂😂 spill the beans
Stan Maile,CIC might not involved in this capture but he is not clean #vbs When are they prosecuting people? who are the auditors of Bosasa? We need a coalition. all these parties are the same. at least they will guard each other EFF needs to just get rid of Floyd and Malema. they have a lot of potential mamphela i actually like mamela. he has leadership qualities but i cant trust him. only reason EFF exist is because he got fired by ANC not because he wanted to change the country for the poor 😂 its so funny that we are willing to fight over these corrupt parties while they eat the money lol Thando its not like under the ANC we will get it Thando i hope they will. ANC supporters were also promised a lot of things. thats wat politicians do. 😂Siphosethu not even the EFF can give u that. our economy does not allow Siphosethu we cant because like uve said they've spent all the money😂. we are in this mess because malema made Zuma president Thiza vs EFf supporters 😂😂😂
Phumlani Mhlongo,Stanley assist us with a proof which indicates that the CIC is implicated in VBS saga @African Have you seen one?? @Lebo true that He is seated
excellentson serunwa,....kkkkHey whats wrong with the fore-hairs of the chair...is there static electricity--- "Dusable Biase​ ""Zuma has charisma for sex yeeh...he did.. "Agrizzi should be our future President  michael....U mean Malema :** Confusing**** "malema is ok there where he is...but not on "" being a pres*...atleast he can control the loose canons" Bridgette Kekana​Anc made a mistake by firing Malema************they still want him back...thats what ZUma tried... yessssss VIVA EFF... @ Thando**************they fear Limpopopian... "Agrizzi....is exhausted mani outcry for Agrizzi protection... u missed lots
Mzalwane Mzala,Is the EFF backing the new DA's mayor candidate in Tshwane?
mrndu100,is agrizzi standing or what?
Magda Seguin,The problem with a R200k watch is that Malema purports to support the poor...he is a capitalist through and through Andrew Mounsear -Wilson Indeed! Anyone who thinks the EFF will bring Utopia is misguided to say the least.Their followers on the street and on Twitter are delinquents to say the least Blackout...yesterday it was water...mmmmm "Bridgette Kekana True it does not bode well for the future Enca is also down I expected rude answers...whatever...its your style I am apolitical...politics corrupts The commission is up again I am desisting...this platform is not for debate.Sorry to disappoint you I will never forget Malema's words when he commented on Kwezi....he is a misogyne South Africans have very short memories Malema also said he is prepared to kill for Zuma He never apologises...he is a loose canon There is much much more but I suppose those who so fervently support him will find out to their detriment.He wants South Africa to be the next Venezuela When I see the hatred from EFF supporters towards those who dont agree with them I fear for the country... I have not voted in the last general elections....I saw this coming Politicians are not known for emotional intelligence...its mostly about power.Only a few have the interests of the people at heart. We are multitasking...and I will never be told to shut up.This is a public forum. Unfortunately we dont vote for a president but a party...the way its going he may not even be ANC's choice after the elections Did anyone ever see the EFF leaders on the ground destroying entities like shops etc? They know their folowers aee brainwashed and will go to jail for them There were only Khoi and San here when colonisers came and others from the great lakes regions Over and out
Blackie & Sheila Swart,Cry the beloved Country mmmm
Makhosi Chiwashira,Yah Agrizzi must be exhausted. I'm exhausted too. He has a sharp memory tjo.
Phumlani Mngadi,what happened guys?
Thabang Teffo,what happened now
Khaya Mseswa,😔 😔
Blaise Shawe,Bosasa did not pay the power bill
jean Ndarwarukanye,🤣🤣🤣
Carl Theunissen,Oi! Nee man! @B
Thabang Ditha,they went for haircuts
Yandisa Madikizela,hahaha
Rato Madise,I wonder whats wrong now
Joe Diedericks,"Aaaah
Patrick Kubayi,Whats up ?? We are hacked ...
Nkosinathi Mdhluli,i feel that all this will disappear after the elections Im still waiting to hear about the mpumalanga correctional services becouse i know our deputy press has something fishy there Mongezi Memela he is every where where theres Corruption Same as pres cyril "I remember when cyril came to Mbombela for his campaign there was no catering we got Money instead "Im voting eff i can""t have mabuza as deputy" Eff leading loading................... the land issue is putting white people in june july if only they can stop this tenders
Justice Mabasa,plenty scandals will be exposed in this enquiry.
SABC News,"Apologies for the blackout
Derek Watkins,A high chair should be provided for Advocate Pretorius to sit on. Standing long periods like he is doing invites Varicose Veins.
k,i doubt that lol haha Some serious debaters in here clever lol haha there is no such thing as an only hope the only thing not talked about in this chat is what this video is about haha @Kevin Davis did you just become a marshmallow? people who rob and do crime are people who rob and do crime but lets steal something just before we head out ok? hahaha s not even anything that means anythinf
Owethu Booi,no one will get arrested after all this is just the waste of our resources I will be so happy to see arrest 100% behind your statement Stanley @ Michael a big NO from my side
True Tech,"ah yes 1234 Corruption Street "i might just snap "oops "i dont own a gun. theres no afterlife some are masterdebators so much scamming "he said :when you lefT they should hyper accentuate their P's and T's when grilling this scammer really make those P's pop atheists will take over eventually corruption wears a 3pc suit corruption wears a priests collar the poor are abused by cults greedy religious cults "hi "yes the Atheist National Congress they get all wigged out "buy a wig that has piles of tiny pastry flakes added "remember "its only a dermis atheism is best. all others are obvious scam enablers "until the scams are exposed they mere rebrand their scam in new acounts with the same investors "it would be constructive to ask them to walk on water "welcome you missed miles of corruption trump is corrupted too "trump is a corrupted mafia connected churchmouse
Mosito Masike,as we speak duduzanes charges are being dropped
Martine Engelbrecht,Shame Thando are you already brainwashed. EEF is no better than any other party. Only difference is that only the narrow minded believe them let them believe. IN a few years from now they marc And the poor souls believe everything he says If Malema was still in ANC he would be double corrupt If they were manipulated what does it say about their inteligence Malema .cannot have a intelligent debate without insulting people. In a few years from now Thando and his buddies will be in front of the protest asking for food. Like those in Zimbabwe. Desmond you won't rule the country if EFF rules because the leaders will not give up their riches for you then don't say we will rule
Thiza William,"EFF worse young corrupt scoundrels more revelations are coming from PIC Malema learned the ropes of corruption during his time in the ANC Youth League that led to him collapsing the entire Limpopo government "You praise Malema a man that changes his political convictions like a cameleon. He praised Mugabe today he condemns him. Attack and insulted Thabo Mbeki Malema endorsed economic policies of Venezuela now he condemns EFF is a fascist movement that masquerades as a progressive revolutionary movement Malema hates anything and everything that is meant to take South Africa forward. which truth Malema is talking except gossiping more than a tabloid Where is he sleeping??? If not a house of a self confessed cigarette smuggler You elect hyenas to look after sheeps and get surprised when sheeps go missing "if Malema possess so much information "Malema and his cahoots in the EFF are just angry that they were born after the struggle was over. Hence EFF nothing but a bunch of confused youth that wants to be part of history. History was made and sacrifices were made not peace time heroes of Malema EFF is not a future but a reactionary toxic party led by one autocratic person without any future to offer for the youth except angry useless youth that threatens war at slightest discussion Useless EFF based on nothing but criminals bend on looting the country Malema will soon be called to account and watch how the EFF reacts when exposed "I don't have to talk sense to you if you cannot see Ask why EFF protected Tom Moyane?? Why lied about Pravin and his daughter? am Why fight those who fight corruption??? Floyd wears takkies costing 36 000k yet claim to represent the poor EFF is the last election that they actively participate next they will be in a similar scope as COPE with Malema in prison I won't prove anything to people who believe their own lies Answer to VBS then we can talk Why war if DA wins as that will be based on will of the people easy to talk war if you never experience one in your life time....mafikizolo EFF only believe in myth in a similar way as all followers of Bushiri and other false prophets Start a war as EFF will beat you to point of loosing an appetite to ever talk about war ever again "We shall raise as a nation as we did before against apartheid Senseless my foot Don't bring EFF toxic politics and expect us as black to watch and keep quite EFF doesn't represent me and my aspirations...I don't have to be represented by lumpens masquerading as a progressive force Necklace I'm not surprised coming from criminals in red overalls and funny berets Blood stone age politics of nationalisation never worked anywhere in the world You go around spreading malicious slanders and claim to be politics We stood against apartheid and we won sbdtso shall we confine EFF to the dustbin of history EFF represent thieves with sweet tongue Hitler once thought he was powerful till his demise in 1945 so is Malema facing his own in 2019 we conqured apartheid and neo apartheid in red will perish again In absence of constructive discussion insults becomes a cornerstone of the useless peacetime heroes I was never an arm chair critic I was tried and tested in war and carry scars to prove
Nkosingiphile Nkomonye,YES
Tsonga Traditional Dance by Tinyiko,ANC is playing us for a fool why everyone who is implicated on this commission there isn't nothing done to them.... I am voting UDM...
Nicko Opiyo,People are confuse especially whites people about Malema . All the man is saying opportunity for all It is time to try eff people Effs have very many educated people unlike anc Malema made it clear that South Africa will not be nice without whites and so how can he hate them "If you are white and happy with the stealing them support anc "Malema is a motivator 
Bongani Percy Zulu,@Lelo you are right we just need the pressure from EFF but never to be put into power
Sinjonjo,educated ? like Malema? rwanda botswana and namibia work but the rest are a disaster EFF only want freebies loot as much as possible this fat italian mafioso is in the same league as zuma and his crooked buddies
yamkela deyi,guys just shut up and listen please
Sibusiso Madondo,#coughs#
Softmoneyguru,Take Malema serious at your own risk Malema think we have forgotten about Ratanang Trust ne EFF will never rule this land. not all people are like you the same Malema who bought a 16 Million house on a 20k salary..no we are not like eff people DA is worse poor people are used as pawns to fight for tenders "VBS they protect criminals like tom moyane and agrizzi eff is purely a criminal stockvel they are like warlords and are protected by the poor fighters who are just star struck Matlawa prove what? EFF is very useless to the nation building all those crooks want is something that will maintain their lifestyles while these poor brainwashed masses are told of a fake revolution when have u ever seen revolutionary leaders who love themselves than the masses
Malusi Caluza,EFF will never rule this country Nobody can defeat the African National Congress
Tokelo Mabena,EFF is the future.
mbuso sibisi,his a saint da biggest devil DA DEVILS ARMY
Zanele Lukhele,🤣 Don’t worry Thando the war will only exist on social networks 🤣🤣🤣how will we leave our phones for physical weapons 🤣🤣🙆🏾‍♀️
Yvonne Morudu,south Africans let's vote for Cyril he is our only hope if we don't give him a clear mandate he will be recalled by zuma s wife camp and they will appoint people like magashula as president EFF is nothing but disaster they are already stealing what will happen when they are in power.. black and white let's vote for Cyril to safe our country
Ndivhuwo Eric,"The DA is fronting black people to advance their agenda
Jane .Blamire,@Yvonne Morudu I am with you
Chris du Toit,"Watch S.A turning into a shithole with this corruption going on like this kevin davis LOL #TrumpForPresident
Nomvula Malgas,wait not so fast eff's the 💣 is still coming.. nizozwa
Siphosethu Ndabeni,Zuma is a coz of all this corruption in our country "we not talking to you  "if the ANC  "if the politicians can spend all the money of our people why can we afford all that  "he told Zuma 
PROFTSHEGO,This guy does a better job than external hard drive
Makwena Manamela,tasked to handle cash...what nice job heartless too
xolani mzolo,ayabizw' amagama
Wildthing,Ha ha Judge what's the names out. just like us.
LINDOKUHLE C'NETHEMBA,nmes please names please
Soso Fuuu,I wonder how old is Thiza William he is a disgrace acts like a small child you call constructive discussion what you are doing funny you are busy bashing EFF yet you call that constructive mxxxm
