author,message message
Previous Nkopodi,Morning All @Lerato Moleke Lekae Moratiwa 😘 @Teunis van Ree are you doing well this exquisite morning? @Akhonamandla Gala my friendoooooooooo  @Akhonamandla Gala Eish those losers my friendo ae @Stix Mtolo My Frindoooooooooo...Are you well brother? "Lol We want Zuma & Ramaphosa @Lerato Moleke Nkago humana ko Twitter? and now? Nxa.....Do not start plz SABC Thanks dear am #Lebowa Nkopodi @Lerato Moleke  Yep "@Akhonamandla Gala Lol Morning @Valencia J  @melds melds Am well thaks Valencia lovy lol @Diane Louw 🤣🤣🤣 stout  @Thabo Daniel I think you are just being political "People from Gauteng ZUMA is all over....mxm ae "@Lerato Moleke Be honest dear "Thanks Sister @melds melds Stay calm Thanks Heban....@Valencia J My what...? 🤔 @Stix Mtolo YES....i will my friend @Valencial I will give you the Position of CEO @Diane Louw Tell us "Lol Haibo "Lol Lol @Akhonamandla Gala 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 yooooooowe Why did He resign? LERATO are you multi tasking? You should have a ASK? "Yah @André du Plessis YES @André du Plessis We wil and the Briskets for braai 🤣 Agee "Lol "Lol @Queen K Are well this morning? Are you* Lol @Valencia J but He started wearing those kind of labels from ANC youth League "@melds melds Lol That noise aaag "Lol Lol @melds melds That is thr truth the* Lol  Who is this man talking? "Thanks "Thanks How old are you Kgaetjedi @Lerato Moleke  Lol yooooooooooooowe ha ha ha ha Stix mkanami Lol VALENICA "Valencia why that time after She spoke afrikaans no one commenter @melds melds  Ohk MELDS LOL "Lol guys I wonder who is that lucky person @Lerato Moleke ha ha ha @melds melds Do you think ZUMA ill be prosecuted? I might agree with you @Lerato Moleke  @melds melds but the fine is only 6 months or R1000 fine or both.....and that is nothing Alright "But @Goatee - HOLD YOUR HORSES PLEASE BROTHER "@melds melds The constitution of this country is being politicized @Goatee - I really doubt that is the reason brother @Diane Louw Haven't you heard of the 12 judges Rumours are always next to the truth 🤣😷 Lol....C Ramaphosa i do not trust him @Stix Mtolo 👍 ola brother lol "Lol "@melds melds Please lol who is that @Thabo Seoko that wants to spill the beans "Wow Heban....what name is this Ohh SORRY Ohk guys.Loud and Clear FAKE Qualifications "Lol Because the receipt is not the same @dude cool  heban  nie man "@Goatee - What's happening brother TRUE @dude cool  Montana must be smiling where ever He is? Nkandla costs millions of Rands but Nkandla residents does not have water and other services....they are extremely poor Am getting tired of this MONTANA name ei 🤢🤮 lol @Diane Louw how r u this morning? @Stix Mtolo mkanami... Lerato my darling Pleasure @Diane Louw  @Sabelo Nxumalo You are completely wrong Am very well thanks for asking Mr Diane "@Rudi Haywood Ooh askies hey "@Louis C I did not see you i like this man Well spoken This man must just be lawyer "Ooh "Lol Lol @Diane Louw what about Tea? Haibo @MrHellYa  @Jabu Malinga Where does that comes from? @Moonchild You would have stole lots Indeed @Moonchild  @Jabu Malinga Take it easy Man @Jaco Kritzinger There will be a big mess if cannot have @melds melds hey darling "@Sal SA Lol @Sal SA We are in a same page @Louis C Side of Pretoria North? Guys do not start please Is ZUMA going to Court today? Anything you know....Was it pospomed? Thanks skat @KrsOne 🤣🤣🤣🤣 what makes you to say that? @Tommygun Brilliant question? "No Do not fight my man @Tommygun  "@melds melds You sound a very impatient person "What is the fight all about guys nie* Heban....guys please. Leave your topic Yoh....Bye guys. See you next time
Heather Durr,@Teunis van Ree @Quinton van Eeden @Lerato Moleke @Diane Louw @Martha Sello @bongile sango Hi All Rain glorious Rain Is it Lucky Montana or Monyane Werksmans DCJ wasnt some other actress arrested foe arranging a hit on her husband this weekend @SABC News STREAM PLEASE KATE-They mentioned Adv Hofmeyer...My heart  Koko's RET brigade want to see Montana???? @Sal SA Hi @Lynn Barnard Hi @rohan barnard  @Valencia J Just received the stretch training bands so those with my weights and (blush)30 years of training with weights and representing ZA overseas in Powerlifting. I am ready to train here @Diane Louw Hi My friend So we are talking about Popo? @Diane Louw I dont think DCJ is wearing lipstick... LOLOL @Pastor J.J Hello esteemed one Youth is overrated people Oi gewalt (Yiddish) Thats from the pamphlet in the reception area Oh Lord 'in the hands of the ANC ' Jy lieg You gotta love this line of argument-I never took part in corruption ever so why would I do so at Prasa Relevance?? Oh we know he was busy WHUT I doubt I will ever get my chest back up to where it was in the day Miss vetkoeks relative Imagine sitting thru the Portfolio committee with her as chair person no wonder considering how s l o w l y she speaks Imagine them all speaking @ALTA Hi  Why is Gavin Watson Trending OOOOOOPS Ok I need half a sleeping tablet This woman is like scraping your nails on a chalk board Relevance??????? I cant stand you and Grootes get off my screen @Louis C Dont know the song Its the same person posting-just block Alta Lots of 123 @FieliesSA Hi 'I said to myself'........... 'Fiefdom' LOLOLOLOLO Morning All Zuma is involved perpetually in litigation @Diane Louw Oh dear not really and I cant even blame my cat. Is the CC application being heard today Who read all our comments-pray tell Well she is frustrating the truth and EL is getting hot under the collar 'You dont have to repeat them' lololololoilll I am sure that she is duly and genuinely accepting-she is deceitful and arrogant So you have different processes within the process that start and finish 'co-incided with my presence' How is that for not taking ownership If you digress any further you will fall off the face of the planet and that is her telling DCJ get out of my face OH She has gone back to her notes....... Reading notes wht wht whut whut whut wthut whut @Stix Mtolo Hi @Sal SA Hi there We were busy with the process of turning it in to a process that could be processed by cabinet She loves that word 'process' Sigh 'Let me make an example x 10000 @Sal SA Dont engage with conspiracy theorists whose Facebook accounts were shut down by Facebook for a month-you are on a road to no-where and it is grossly disrespectful :0 @Pastor J.J LOLOLOLOL @melds melds Scapegoat Hahahahahahaha @nduduzo mabuyakhulu @melds melds Been there done that-the money has been traced offshore. Go download the 'flow of funds' videos @Lerato Moleke Hi there-missed your logon "The Commission will here evidence from Head of the Legal Division at PRASA @Pastor J.J Who would have thought..................... @Kevin W Thanks-hoping Myburgh deals with him and Brian Molefe. Myburgh is superb in my view and relentless never smiles just glares Ahhh Fence and Gate rears its head again-Jessie Duarte ???? The RETs will coming running now This issue arose last week and DCJ made the statement prior to the witness statement @Teunis van Ree Hi Is Werksmans there-they need reprresentation @Jenny Whitewaves So fortunate that they managed to find another home-you must be relieved Where else did we have Ngubane-Eskom @Diane Louw Yes he did say it @Sal SA Nedbank has taken heat
Akhonamandla Gala,Molweni 👋 @Previous Nkopodi Big Chiefs how are you doing man? I had a terrible weekend because of Chiefs and Liverpool 😢 eita da @Stix Mtolo 👊 "condolences to the Diko's @Pastor JJ what's going on? "@Siya Dilimeni subanomona iyakhonza lendoda @Siya Dilimeni 😂uphopho ebesedinga imithandazo akeva @Koketso surely it was killed by SABC 😂 @Jabu Malinga what were you saying about that Advovos mouth? lol Next thing will be Eskom telling us about wet coal because of weather...... lol maybe SABC News was saving us from that guy who just took a sit now..... Aunt Lizy please up your voice and remove that mask "@Valentia J so rohan is ""my eie"" and previous is ""my one and only"" 😂?" @Stix Mtolo i see @Valentia J is behaving like a Polo driver today 😂 @Valentia J you've hurt Stix lol 😂 @Lerato Moleke 🤗kunjani? lol @melds melds hahaha long stories that helps nothing @Valentia J 😂you are expanding your horizons too much Sisi as if there's no tomorrow lol No try and fix things because Previous will hurt you (he's working at Eskom) "so far Mamas Sangoma is working aaai die Antie praat nou die taal the sound of Chairs spray lol @Previous Nkopodi please continue what you were conversating with Valencia i was still listening to the Top Billing stuff lol ja she must be limited because this is not a UDF rally
Kevin1,Hi all - pouring with rain in jhb Probably weather interference  eNCA ok enca has now also bombed out @Diane Louw gm @Valencia J gm to u to  "there is a difference between ""dont remember"" and waffle" @Valencia J lol @Heather Durr LOL Zuma fell asleep - oh my dear!!! @charlie zamile lol exactly No wonder nothing happens at Parliament / Cabinet level - all waffle and no action President and Minister attend a meeting and they dont know what is on the agenda - GREAT @melds melds exactly "@melds melds the minutes of the meeting would read ""....zzzzzzz....""" "@Diane Louw you are right - they should have recorded all the expenses related to this meeting as ""fruitless and wasteful"" expenditure" You must employ competent managers and not continue to deploy all your corrupt mates "The pace of this commission is grinding to a halt - things need to be done to get to the point and speed things up otherwise all of this could be ""fruitless and wasteful"" expenditure" "There is no such word as ""governance"" in their vocab" "@FieliesSA there are many words that they dont understand - that is why we are where we at EXACTLY EL @Diane Louw gm - and gm to all @melds melds gm the younger one @Pastor J.J gm - love your morning greetings - it is uplifting in this environment 2 years for missing commission date but 2000 years for the master of corruption That is EL you tell her "All these politicians will only realizing their responsibility *realise @Maritime Studies there are many competent ex-SOE employees no longer employed because they wanted to do the right thing - they frustrated the corruption feeding @Maritime Studies - keep your head held high - what goes around will hopefully come around for these criminals @S V 1 exactly right - they all get sucked in Well agree - and get on with it my areas of deployment - but totally incompetent in those areas of deployment eishhh now the waffle is starting again from her LC all these 65 are probably still their ????? as nothing happens due to paralysis *there How do these people sleep at night knowing that 55 million people have been prejudiced as a result of their actions / non actions @Heather Durr Popo Molefe is chairperson of Transnet @Heather Durr i agree Just disgusting what these boards and executives got up to  @melds melds i hope so too - and hold them each liable for costs Wow - is all this funny stuff still happening in SOE's - 2021??? @N N eishhhh the voters must get these guys OUT @N N just unbelievable !! @N N The ANC will have to split for any hope in the future "@Pastor J.J i agree @Pastor J.J hence we need some divine intervention  @Pastor J.J lol - agreed @melds melds - agreed - super hypertension @melds melds all our combined claims would sink the national budget
Stix Mtolo,"@Lerato Moleke "@ Heather Durr "@ Quinton v Eeden "@Akhonamandla Gala @ Seems DCJ is trying to charm someone with his voice today. deep baritone 🤔 @Diana Louw 🌹 "@ Frederick "@Pastor JJ @Sal SA 👋 "@Sal SA "@Valencia JJ "@Valencia JJ "@Akhonamandla Gala "@ Rohan Barnard "@Valencia JJ praise singer of JZ despite the obvious failures. mxm "@Previous Nkopodi "@Valencia JJ "I can't recall ☕☕☕ "@ Goatee "@melds melds @ two lives taken just like that "@Valencia J "@Valencia J "@ Diana Louw "@Previous Nkopodi "@Previous Nkopodi Greetings to all 👋 "@Lerato Moleke "@Previous Nkopodi Madam likes empty speeches "@melds melds "@Aubrey de Bliquy "@Lerato Moleke "@ Shirley Tilley "@Lerato Moleke
Shirley Tilley,Greetings Its eaay to say I dont understant to avoid truth Greetings I am truly ashamed to be a SA Citizen right now  Is SARS not an SOE? Thx Paster
Jacqui Baumgardt,Morning all all gone by-bye hi all @Pastor J.J hearts methinks the lady doth protest too much - to quote from Shakespeare @DieVet Eierrr - probably these ladies love talking
corrie ferreira,môre julle almal t Teunis wat het ons nou hier daar is nie ń Hof in hierdie land wat hulle skuldig sal vind nie. want daar is geen wet in hierdie land Nils hier van sal kom nie Alta ek mis jou
Sal SA,"Sad news on the passing of Diko @Frederick. Diko passed on last night in an Eastern Cape Hospital @Pastor JJ. Are u ok Brother Was on enca 403 @Stix. Hope u well @Valencia. Morning @Melds @Lerato et al Morning guys @Heather. Morning Hi all. @Pastor J.J is watching but is experiencing problems with his keyboard so cannot send messages Live on enca 403 @Valencia. Corruption is like a dam that's leaking and we cannot stop it. The ANC deployees took SA off the rail. "Thank you That was one long sentence Hey sy praat Afrikaans Adv let's get to specifics @Valencia. Hahaha. I knew Adv Soni's late wife when we served on Tourism Durban. Too much rambling-DCJ must control the input Dumelang @Page Is this the Roy Moodley horse racing owner?? Nuff said Mama Respect he's very polite "So whats the issue about time Zuma was working while the country was asleep The constitution is a political document "Why she refers to him as Lucky Genuine ANC deployed here What was the question? Haibo. Long stories for the fireplace lo "But Lucky bought over trains over size Is the sound poor with others too "But Lucky Montana bought over size trains Rambling Mama please stop "@Brightwell. Not true Objection over ruled. Sit Sir "@Brightwell. That might have been mentioned @Brightwell. Yes if they have not resolved this matter. SA is in deep financial trouble and we battling to service debt costs @Brightwell. Listen to this evidence about size But the public want to know please Be specific to Mthimkulu But some people were fast tracked into the system because of the aloota continua plan Montana was doing the Gupta's bidding "Too late for criminal n fraud Too general Mama So why make attempts to recall Lucky And you praised Montana's skills earlier @Mike. Exactly Hi Lucky:goodvibes: "Not competent "So why did they always him to build a case @Brightwell Kunene. Hope that segment answered your concerns 🙏 Especially uBaba Back at 14h15. Cheers @O S Muzik. I concur Please no longer story. Answer the question But she had all the cv's and motivations for the applicants @Pastor. Greetings to you as well bro I sent a message earlier. Hi @Diane. Trust u well today "Dudu has a pending court appeal at that stage had Noted Myeni matter was referred by DCJ to the NPA for action. "Zumalites don't mind our taxes have been looted She'll need tbe whole day chair "@Sabelo. I am fully aware of the political landscape of our country having lived through apartheid Yes she talks to the Minister but can't remember his name JnJ vaccine was approved @Maritime. Why are u surprised? He is very polite @Maritime. Then don't make comments that may be construed negatively "@Previous. He's an advocate @Maritime. Thank u. Respect Yes like Tlaudi speaks to himself @Aubrey. Studies were conducted by medical professionals in various countries. So I personally will follow our medical experts led by Prof Salim Karim "@Aubrey. Noted You don't know enough of the ANC if that's your view Gogo @Maritime Take care And Nomvula @Jabu. Better than Netflix @Jabu. So what if we watching the whole. I worked hard for 40 years n now enjoying my golden years. Only problem our I've seen our country slide down 8nto bankruptcy day @Previous. Exactly 💯 @Heather. Thanks my dear @Heather 123 done 🙂 Let's refocus on the commission please. Its distracting "This shows that corruption runs very deep Proves this Board is corrupt Legal "Mr L. As a former banker @Aubrey. Not clear "@Mr L. Banks monitor deposits into accounts that may be possible money laundering. They acted swiftly on blocking Gupta accounts @Mr L. Yes when news broke of Gupta allegations "@Mr L. Companies internal and external auditors function is to pick up fraudulent transactions Auditors must come and answer @Mr L. I have read the FIC Act. Which part are u concerned about? "@Mr L. If banks have not acted "@Heather. I think Nedbank will get away @Moinchild. I agree if there is wrongdoing they must account "@Pastor J.J. I think NB complied with the requirements of the FAIS Act @Mr L. Banks have millions of transactions going through the system daily. SOEs will have large amounts paid out daily. How will the bank identify suspicious transactions based on the profile of SOE'S @Mr L. Banks also have a Compliance Department reporting transactions daily to the FIC and Reserve Bank
Jabu Malinga,political crooks will never go to jail.. we should all get into politics then we are untouchable.. its an old deal since the 18th century.. if u crime while in politics u get amnesty Diko died Diko was admited to hospital and died suddenly.. familiar story over the past 2 years of ppl dying of covid but cannot confirm if it was covid "well y does this guy only use half his mouth Frederick..com now my man..is ter any other Diko who was in the news Siya... hahahahhaha.. zuma laugh "dont stress..sabc is 1 of our SOEs SABC will blame weather even if it is raining in Japan "anyway u see this is the problem with the commision.. witnesses are busy leading themselves in evidence n ramble on for days.. can they ask specific questions n move on "leader Zondo must watch these comments..we can advise him what CR17 news? please provide the link the last news on CR17 was that Malema was told to provide evidence or shurrup "Melds Malema is using zuma and the young anc so called leaders to asend to the union buildings himself ter is no evidence of ramaphosa cr17 bribing judges.. but ter is evidense led in this commision that SSA was used to access cash to bribe judges and others..David Mahlobo..rhino man zuma n his cronies r the ones trying to bribe judges and capture everytin so they use politics with no evidence to accuse others.. still waiting for the zumalites to provide any evidence Is this lady accused? its seems lik she is here to defend others tea time som ppl here would want the chair to work 24/7 365 to entertain them.. Must the man not also rest ?? no tea no lunch..must carry on day n night for ur entertainment..haibo "Previous dcj heard enough of this lady
